Station_ID,City,State,Charger_Type,Energy_Consumed_kWh,Charging_Duration_Minutes,Session_Date,Revenue,User_Type,Payment_Mode
STN_380,Kolkata,West Bengal,Level 2,27.98,49.96,2025-05-19 00:04:06.060650,279.8,Member,UPI
STN_369,Mumbai,Maharashtra,Slow,17.31,29.06,2025-04-30 10:02:06.060650,138.48,Member,Wallet
STN_278,Bangalore,Karnataka,Fast,33.13,41.3,2025-03-17 23:39:06.060650,397.56,Member,Wallet
STN_463,Kolkata,West Bengal,Fast,33.13,62.71,2025-11-09 14:59:06.060650,397.56,Member,UPI
STN_684,Delhi,Delhi,Level 2,34.48,41.94,2025-12-07 12:33:06.060650,344.8,Member,Credit Card
STN_582,Mumbai,Maharashtra,Level 2,29.6,58.49,2025-05-08 15:27:06.060650,296.0,Member,UPI
STN_873,Delhi,Delhi,Level 2,22.18,29.84,2025-10-27 10:51:06.060650,221.8,Member,UPI
STN_472,Mumbai,Maharashtra,Fast,39.34,52.98,2025-03-12 02:47:06.060650,472.08,Member,Credit Card
STN_121,Hyderabad,Telangana,DC Fast,47.42,73.29,2025-06-08 21:18:06.060650,711.3,Member,Wallet
STN_905,Kolkata,West Bengal,Level 2,13.52,19.37,2025-04-01 20:57:06.060650,135.2,Member,Wallet
STN_628,Pune,Maharashtra,Slow,12.94,18.55,2025-10-08 22:57:06.060650,103.52,Member,Debit Card
STN_746,Bangalore,Karnataka,Slow,19.57,29.22,2025-12-29 22:43:06.060650,156.56,Member,UPI
STN_823,Hyderabad,Telangana,DC Fast,59.66,81.12,2025-06-19 02:11:06.060650,894.9,Member,Debit Card
STN_800,Chennai,Tamil Nadu,Slow,16.87,27.18,2025-09-02 16:51:06.060650,134.96,Member,Credit Card
STN_254,Pune,Maharashtra,Slow,15.28,25.76,2025-09-17 23:13:06.060650,122.24,Member,Wallet
STN_785,Mumbai,Maharashtra,Fast,35.89,47.96,2025-03-24 08:48:06.060650,430.68,Member,Wallet
STN_602,Bangalore,Karnataka,Level 2,21.4,37.39,2026-01-17 22:21:06.060650,214.0,Member,UPI
STN_343,Pune,Maharashtra,DC Fast,42.08,65.31,2025-12-10 13:58:06.060650,631.2,Member,UPI
STN_682,Chennai,Tamil Nadu,DC Fast,44.87,55.08,2025-09-01 00:02:06.060650,673.05,Member,UPI
STN_445,Chennai,Tamil Nadu,Fast,26.54,51.15,2025-10-18 15:08:06.060650,318.48,Member,UPI
STN_989,Pune,Maharashtra,Fast,41.58,60.26,2025-08-01 10:28:06.060650,498.96,Member,Wallet
STN_980,Chennai,Tamil Nadu,DC Fast,32.79,52.99,2026-01-30 21:14:06.060650,491.85,Member,Wallet
STN_505,Chennai,Tamil Nadu,Fast,24.37,48.15,2025-05-20 02:33:06.060650,292.44,Member,Wallet
STN_801,Bangalore,Karnataka,DC Fast,46.97,85.49,2025-12-16 16:44:06.060650,704.55,Member,UPI
STN_157,Ahmedabad,Gujarat,Level 2,29.43,37.4,2026-02-10 03:12:06.060650,294.3,Member,UPI
STN_695,Chennai,Tamil Nadu,Level 2,26.03,35.32,2025-09-15 12:57:06.060650,260.3,Member,UPI
STN_714,Pune,Maharashtra,Slow,17.42,26.32,2025-07-12 15:57:06.060650,139.36,Member,UPI
STN_408,Delhi,Delhi,Level 2,23.19,32.86,2025-08-14 20:25:06.060650,231.9,Member,UPI
STN_898,Bangalore,Karnataka,Level 2,22.24,31.69,2025-05-01 11:45:06.060650,222.4,Member,Credit Card
